Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
57.81403,45.81092,57.81403,448570,0.244911,373533,0.83272,3.40009,0,0,0,35396.5,789.097,3221.97,0,0,0,0
48.84997,36.09677,48.84997,337189,0.345349,264188,0.7835,2.26872,0,0,0,31702.8,940.208,2722.49,0,0,0,0
52.82271,39.20484,52.82271,390135,0.28378,315572,0.80888,2.85038,0,0,0,34264.5,878.274,3094.91,0,0,0,0
50.38143,36.07003,49.63942,349984,0.31967,277783,0.7937,2.48287,0,0,0,32427.6,926.544,2898.43,0.0329497,0.00094146,0.0029451,0
50.17705,36.25177,49.93802,339100,0.32773,269117,0.79362,2.42156,0,0,0,31364.4,924.93,2822.23,0.0584493,0.00172366,0.00525938,0
52.33116,38.6766,51.80538,381115,0.290772,307933,0.80798,2.77874,0,0,0,33860.5,888.459,3055.52,0,0,0,0
50.5859,37.77705,50.5859,364867,0.312453,290186,0.79532,2.54541,0,0,0,33083.9,906.74,2902,0,0,0,0
49.59026,36.58216,49.43526,339090,0.327116,269197,0.79388,2.4269,0,0,0,31487.5,928.587,2838.71,0,0,0,0
49.84914,36.73625,49.16423,346640,0.324918,274712,0.7925,2.43908,0,0,0,32183.8,928.45,2857.49,0,0,0,0
50.88893,36.55636,50.88295,351832,0.358099,277434,0.78854,2.20201,0,0,0,32825.2,932.979,2605.36,0,0,0,0
49.01281,35.16656,48.52325,333165,0.343786,259822,0.77986,2.26845,0,0,0,32167.9,965.525,2808.51,0,0,0,0
49.43618,36.3356,49.43618,337630,0.334821,267362,0.79188,2.36509,0,0,0,31366.7,929.028,2774.7,0,0,0,0
50.38098,36.41784,49.79591,338352,0.322805,269132,0.79542,2.46409,0,0,0,30958.7,914.985,2834.48,0.16974,0.00501668,0.0155409,0
47.64625,34.04076,47.64625,318205,0.341069,249785,0.78498,2.30153,0,0,0,30400.4,955.371,2801.11,0,0,0,0
48.97112,34.61023,48.97112,340240,0.31288,272369,0.80052,2.55855,0,0,0,31075.8,913.349,2919.16,0,0,0,0
58.36874,46.68947,58.02439,443381,0.250898,367909,0.82978,3.30724,0,0,0,35052.1,790.564,3150.94,0.328265,0.00740367,0.0295087,0
53.82587,40.17415,53.82587,393917,0.278891,321192,0.81538,2.92365,0,0,0,33871.8,859.872,3083.18,0.098849,0.00250938,0.00899773,0
49.1574,36.4564,48.99792,326766,0.338157,257041,0.78662,2.3262,0,0,0,30566.1,935.414,2766.21,1.54809,0.0473762,0.140101,0
43.55207,28.5921,43.55207,257172,0.520447,186537,0.72534,1.39369,0,0,0,27771.7,1079.89,2074.92,0,0,0,0
43.3782,28.85764,43.3782,261239,0.490423,190036,0.72744,1.48329,0,0,0,28177.2,1078.6,2199.32,0.888001,0.0339919,0.0693113,0
43.53384,28.67287,43.07757,257179,0.495265,187175,0.7278,1.46952,0,0,0,27710.1,1077.47,2175.53,0.131799,0.00512479,0.0103476,0
43.9568,29.18257,43.92715,262038,0.478784,192168,0.73336,1.53171,0,0,0,28169.9,1075.03,2245.33,0,0,0,0
43.37409,27.68554,43.37409,253921,0.488852,186038,0.73266,1.49874,0,0,0,27602.7,1087.06,2223.69,0,0,0,0
42.93269,27.23754,42.93269,248093,0.500119,180478,0.72746,1.45457,0,0,0,27400.2,1104.43,2208.33,0.0584493,0.00235594,0.00471076,0
49.90457,38.42155,49.74574,317697,0.403445,244576,0.76984,1.90816,0,0,0,30062.4,946.258,2345.44,0.341323,0.0107436,0.0266298,0
54.64395,42.63961,53.84622,397095,0.283628,323854,0.81556,2.87546,0,0,0,32914.2,828.877,2922.41,0.098849,0.00248931,0.00877666,0
48.65829,35.97966,48.63501,340994,0.324361,271261,0.7955,2.45251,0,0,0,30537.4,895.54,2760.94,0,0,0,0
45.58116,31.60625,45.58116,306173,0.372859,237082,0.77434,2.07676,0,0,0,29827.4,974.203,2612.79,0,0,0,0
51.71549,36.54891,50.85007,402077,0.282483,326913,0.81306,2.87826,0,0,0,35539.1,883.886,3128.98,0,0,0,0
45.44364,31.79383,45.29615,310858,0.356151,241686,0.77748,2.183,0,0,0,30158.7,970.178,2724.06,0.131799,0.00423984,0.0119046,0
49.49613,35.01657,49.06681,376546,0.295571,303820,0.80686,2.72984,0,0,0,34191.5,908.029,3072.12,0,0,0,0
50.8528,39.49111,50.85083,364050,0.305866,292711,0.80404,2.62873,0,0,0,31773.7,872.784,2853.48,0,0,0,0
50.18639,35.67273,50.18639,371504,0.298578,300183,0.80802,2.70622,0,0,0,33146.1,892.214,2988.21,0,0,0,0
50.15481,37.48774,50.14741,358151,0.312979,287316,0.80222,2.56318,0,0,0,31652.2,883.767,2823.73,0.118741,0.00331539,0.010593,0
53.09215,39.55367,53.07722,393864,0.284467,320912,0.81478,2.86423,0,0,0,33354.8,846.862,2977.01,0,0,0,0
50.16471,34.56394,49.53044,359435,0.308164,287368,0.7995,2.5944,0,0,0,32823.3,913.193,2963.33,0,0,0,0
51.43959,36.84759,51.26027,406421,0.276457,331534,0.81574,2.95069,0,0,0,35213.5,866.43,3134.05,0,0,0,0
51.79528,38.3572,51.54635,406447,0.272649,333116,0.81958,3.00599,0,0,0,34745,854.846,3135.34,0,0,0,0
45.90043,32.0164,45.90043,318501,0.350614,248737,0.78096,2.22741,0,0,0,30664.7,962.781,2745.99,0,0,0,0
50.02209,39.26242,50.02209,360205,0.313564,288719,0.80154,2.55623,0,0,0,31628.3,878.062,2800.26,0.0329497,0.00091475,0.00291726,0
53.12827,40.58777,52.99802,390112,0.285158,317567,0.81404,2.8547,0,0,0,32741.2,839.277,2943.2,0.0329497,0.00084462,0.00296194,0
56.42145,42.46883,55.98232,430325,0.258511,356214,0.82778,3.20211,0,0,0,34737.9,807.25,3122.69,0,0,0,0
44.51484,30.5218,41.70209,300080,0.3944,230179,0.76706,1.94488,0,0,0,29690.7,989.425,2508.68,0,0,0,0
43.49149,31.16688,43.27634,300079,0.375185,230809,0.76916,2.05008,0,0,0,29515.9,983.604,2621.65,0,0,0,0
44.95183,30.89757,44.47626,303691,0.368398,235791,0.77642,2.10756,0,0,0,29533.4,972.484,2639.77,0.131799,0.0043399,0.0117805,0
48.50541,33.51416,48.50541,339593,0.32382,269297,0.793,2.44889,0,0,0,31584,930.055,2872.14,0.0329497,0.00097027,0.00299632,0
43.94463,29.32106,43.94463,295971,0.367052,229792,0.7764,2.11523,0,0,0,29044.6,981.33,2673.54,0,0,0,0
52.90287,37.91877,52.90287,412642,0.263142,340735,0.82574,3.138,0,0,0,34651.1,839.737,3191.19,0,0,0,0
57.02982,43.71695,56.45822,443116,0.254292,367449,0.82924,3.26098,0,0,0,34940.7,788.522,3100.86,0,0,0,0
54.64395,42.63961,53.84622,397095,0.283628,323854,0.81556,2.87546,0,0,0,32914.2,828.877,2922.41,0.098849,0.00248931,0.00877666,0
56.83829,43.45679,56.83829,423419,0.265994,348610,0.82332,3.09526,0,0,0,33937.4,801.508,3013.25,0,0,0,0
47.61027,37.26315,47.43372,345157,0.345394,270431,0.7835,2.26842,0,0,0,32127.6,930.809,2694.92,0,0,0,0
52.32423,39.20469,52.32423,393603,0.288309,317992,0.8079,2.8022,0,0,0,34002.9,863.888,2996.39,0.0329497,0.00083713,0.00290358,0
48.4532,36.88492,47.60624,347600,0.329823,274514,0.78974,2.39443,0,0,0,31806.9,915.043,2774.34,0,0,0,0
52.48547,38.82287,52.46295,389801,0.292202,315630,0.80972,2.7711,0,0,0,33529,860.155,2943.7,0,0,0,0
54.54773,42.03085,53.6099,438261,0.259171,360995,0.8237,3.17821,0,0,0,36133.5,824.476,3181.2,0,0,0,0
50.18272,37.94593,50.02076,377288,0.309501,301038,0.7979,2.57802,0,0,0,33476.9,887.305,2866.89,0.138633,0.00367446,0.0118722,0
50.99624,37.63974,50.96795,367222,0.309592,294711,0.80254,2.59225,0,0,0,32254,878.324,2837.04,0.0329497,0.00089727,0.00289822,0
51.71057,38.18754,49.1753,383622,0.300704,308256,0.80354,2.6722,0,0,0,33499.9,873.253,2904.03,0,0,0,0
64.46424,53.12566,63.90525,566944,0.199782,486926,0.85886,4.29898,0,0,0,39122,690.051,3454.02,0,0,0,0
63.83139,52.57342,63.51366,557193,0.203278,476668,0.85548,4.20842,0,0,0,39227.7,704.024,3463.35,0,0,0,0
55.08289,41.47558,54.76001,447131,0.287965,366066,0.8187,2.84305,0,0,0,37083.4,829.364,2880.08,0,0,0,0
50.82832,37.69306,47.38838,378623,0.309819,301399,0.79604,2.56937,0,0,0,34268.7,905.088,2921.34,0,0,0,0
55.64598,42.16587,55.64598,449690,0.257539,371579,0.8263,3.20845,0,0,0,36414.9,809.778,3144.29,0,0,0,0
55.77183,42.45135,55.77183,441475,0.25367,365647,0.82824,3.26503,0,0,0,35738.4,809.522,3191.24,0,0,0,0
51.28168,36.70559,51.28168,372502,0.298783,299849,0.80496,2.69413,0,0,0,32741.1,878.951,2941.78,0,0,0,0
49.07643,34.52663,48.67083,342488,0.318907,273641,0.79898,2.50537,0,0,0,30753.3,897.94,2815.68,0,0,0,0
54.33913,46.08819,53.38662,403144,0.282804,328603,0.8151,2.88221,0,0,0,33282.1,825.563,2919.21,0,0,0,0
50.81735,38.01404,50.56958,366756,0.30709,294072,0.80182,2.61103,0,0,0,32031.3,873.369,2844.02,0,0,0,0
52.71094,38.52685,52.71033,387814,0.292061,313757,0.80904,2.7701,0,0,0,33214.4,856.453,2932.44,0,0,0,0
41.04054,29.51286,30.80793,262152,0.411614,199047,0.75928,1.84464,0,0,0,27226.2,1038.57,2523.16,0,0,0,0
54.64395,42.63961,53.84622,397095,0.283628,323854,0.81556,2.87546,0,0,0,32914.2,828.877,2922.41,0.098849,0.00248931,0.00877666,0
48.65829,35.97966,48.63501,340994,0.324361,271261,0.7955,2.45251,0,0,0,30537.4,895.54,2760.94,0,0,0,0
45.58116,31.60625,45.58116,306173,0.372859,237082,0.77434,2.07676,0,0,0,29827.4,974.203,2612.79,0,0,0,0
51.71549,36.54891,50.85007,402077,0.282483,326913,0.81306,2.87826,0,0,0,35539.1,883.886,3128.98,0,0,0,0
45.44364,31.79383,45.29615,310858,0.356151,241686,0.77748,2.183,0,0,0,30158.7,970.178,2724.06,0.131799,0.00423984,0.0119046,0
49.49613,35.01657,49.06681,376546,0.295571,303820,0.80686,2.72984,0,0,0,34191.5,908.029,3072.12,0,0,0,0
50.8528,39.49111,50.85083,364050,0.305866,292711,0.80404,2.62873,0,0,0,31773.7,872.784,2853.48,0,0,0,0
50.18639,35.67273,50.18639,371504,0.298578,300183,0.80802,2.70622,0,0,0,33146.1,892.214,2988.21,0,0,0,0
50.15481,37.48774,50.14741,358151,0.312979,287316,0.80222,2.56318,0,0,0,31652.2,883.767,2823.73,0.118741,0.00331539,0.010593,0
53.09215,39.55367,53.07722,393864,0.284467,320912,0.81478,2.86423,0,0,0,33354.8,846.862,2977.01,0,0,0,0
50.16471,34.56394,49.53044,359435,0.308164,287368,0.7995,2.5944,0,0,0,32823.3,913.193,2963.33,0,0,0,0
51.43959,36.84759,51.26027,406421,0.276457,331534,0.81574,2.95069,0,0,0,35213.5,866.43,3134.05,0,0,0,0
51.79528,38.3572,51.54635,406447,0.272649,333116,0.81958,3.00599,0,0,0,34745,854.846,3135.34,0,0,0,0
45.90043,32.0164,45.90043,318501,0.350614,248737,0.78096,2.22741,0,0,0,30664.7,962.781,2745.99,0,0,0,0
50.02209,39.26242,50.02209,360205,0.313564,288719,0.80154,2.55623,0,0,0,31628.3,878.062,2800.26,0.0329497,0.00091475,0.00291726,0
53.12827,40.58777,52.99802,390112,0.285158,317567,0.81404,2.8547,0,0,0,32741.2,839.277,2943.2,0.0329497,0.00084462,0.00296194,0
56.42145,42.46883,55.98232,430325,0.258511,356214,0.82778,3.20211,0,0,0,34737.9,807.25,3122.69,0,0,0,0
44.51484,30.5218,41.70209,300080,0.3944,230179,0.76706,1.94488,0,0,0,29690.7,989.425,2508.68,0,0,0,0
43.49149,31.16688,43.27634,300079,0.375185,230809,0.76916,2.05008,0,0,0,29515.9,983.604,2621.65,0,0,0,0
44.95183,30.89757,44.47626,303691,0.368398,235791,0.77642,2.10756,0,0,0,29533.4,972.484,2639.77,0.131799,0.0043399,0.0117805,0
48.50541,33.51416,48.50541,339593,0.32382,269297,0.793,2.44889,0,0,0,31584,930.055,2872.14,0.0329497,0.00097027,0.00299632,0
43.94463,29.32106,43.94463,295971,0.367052,229792,0.7764,2.11523,0,0,0,29044.6,981.33,2673.54,0,0,0,0
52.90287,37.91877,52.90287,412642,0.263142,340735,0.82574,3.138,0,0,0,34651.1,839.737,3191.19,0,0,0,0
57.02982,43.71695,56.45822,443116,0.254292,367449,0.82924,3.26098,0,0,0,34940.7,788.522,3100.86,0,0,0,0
54.64395,42.63961,53.84622,397095,0.283628,323854,0.81556,2.87546,0,0,0,32914.2,828.877,2922.41,0.098849,0.00248931,0.00877666,0
56.83829,43.45679,56.83829,423419,0.265994,348610,0.82332,3.09526,0,0,0,33937.4,801.508,3013.25,0,0,0,0
47.61027,37.26315,47.43372,345157,0.345394,270431,0.7835,2.26842,0,0,0,32127.6,930.809,2694.92,0,0,0,0
52.32423,39.20469,52.32423,393603,0.288309,317992,0.8079,2.8022,0,0,0,34002.9,863.888,2996.39,0.0329497,0.00083713,0.00290358,0
48.4532,36.88492,47.60624,347600,0.329823,274514,0.78974,2.39443,0,0,0,31806.9,915.043,2774.34,0,0,0,0
52.48547,38.82287,52.46295,389801,0.292202,315630,0.80972,2.7711,0,0,0,33529,860.155,2943.7,0,0,0,0
54.54773,42.03085,53.6099,438261,0.259171,360995,0.8237,3.17821,0,0,0,36133.5,824.476,3181.2,0,0,0,0
50.18272,37.94593,50.02076,377288,0.309501,301038,0.7979,2.57802,0,0,0,33476.9,887.305,2866.89,0.138633,0.00367446,0.0118722,0
50.99624,37.63974,50.96795,367222,0.309592,294711,0.80254,2.59225,0,0,0,32254,878.324,2837.04,0.0329497,0.00089727,0.00289822,0
51.71057,38.18754,49.1753,383622,0.300704,308256,0.80354,2.6722,0,0,0,33499.9,873.253,2904.03,0,0,0,0
64.46424,53.12566,63.90525,566944,0.199782,486926,0.85886,4.29898,0,0,0,39122,690.051,3454.02,0,0,0,0
63.83139,52.57342,63.51366,557193,0.203278,476668,0.85548,4.20842,0,0,0,39227.7,704.024,3463.35,0,0,0,0
55.08289,41.47558,54.76001,447131,0.287965,366066,0.8187,2.84305,0,0,0,37083.4,829.364,2880.08,0,0,0,0
50.82832,37.69306,47.38838,378623,0.309819,301399,0.79604,2.56937,0,0,0,34268.7,905.088,2921.34,0,0,0,0
55.64598,42.16587,55.64598,449690,0.257539,371579,0.8263,3.20845,0,0,0,36414.9,809.778,3144.29,0,0,0,0
55.77183,42.45135,55.77183,441475,0.25367,365647,0.82824,3.26503,0,0,0,35738.4,809.522,3191.24,0,0,0,0
51.28168,36.70559,51.28168,372502,0.298783,299849,0.80496,2.69413,0,0,0,32741.1,878.951,2941.78,0,0,0,0
49.07643,34.52663,48.67083,342488,0.318907,273641,0.79898,2.50537,0,0,0,30753.3,897.94,2815.68,0,0,0,0
54.33913,46.08819,53.38662,403144,0.282804,328603,0.8151,2.88221,0,0,0,33282.1,825.563,2919.21,0,0,0,0
50.81735,38.01404,50.56958,366756,0.30709,294072,0.80182,2.61103,0,0,0,32031.3,873.369,2844.02,0,0,0,0
52.71094,38.52685,52.71033,387814,0.292061,313757,0.80904,2.7701,0,0,0,33214.4,856.453,2932.44,0,0,0,0
41.04054,29.51286,30.80793,262152,0.411614,199047,0.75928,1.84464,0,0,0,27226.2,1038.57,2523.16,0,0,0,0
55.94332,43.5551,55.43646,395371,0.32405,317254,0.80242,2.47623,0,0,0,34466,871.739,2690.14,0.0329497,0.00083339,0.00257178,0
47.37658,34.28359,46.99236,299109,0.442619,221820,0.7416,1.67548,0,0,0,30407.1,1016.59,2296.75,1.86884,0.0624802,0.14116,0
47.64565,33.70506,47.64565,297033,0.416727,223244,0.75158,1.80353,0,0,0,29918,1007.23,2417,0.0329497,0.00110929,0.00266192,0
43.70735,28.94799,43.70735,260869,0.488122,188358,0.72204,1.47922,0,0,0,28168.6,1079.8,2212.16,4.63431,0.177649,0.363945,0
43.67915,28.87907,43.67915,260003,0.48752,186750,0.71826,1.47329,0,0,0,28045.5,1078.66,2212.55,0.23201,0.00892338,0.0183036,0
44.38378,29.18522,44.37692,263596,0.469994,191091,0.72494,1.54245,0,0,0,28132.3,1067.25,2270.77,2.82716,0.107253,0.228202,0
43.33377,28.44912,43.33377,254861,0.488392,182751,0.71706,1.46821,0,0,0,28001.5,1098.69,2249.62,6.30665,0.247454,0.506671,0
49.66787,36.46483,49.32367,317555,0.392142,242669,0.76418,1.94873,0,0,0,30927.8,973.934,2483.62,0.170713,0.00537585,0.0137089,0
43.74442,28.89267,43.74442,260802,0.475837,189149,0.72526,1.52418,0,0,0,27901.8,1069.85,2248.35,0,0,0,0
49.11333,35.09724,46.62926,305523,0.410018,230859,0.75562,1.84289,0,0,0,30315.9,992.262,2420.04,0.0857912,0.00280801,0.00684851,0
48.20743,34.69192,48.1582,300366,0.416884,225893,0.75206,1.804,0,0,0,29683.8,988.257,2370.58,0.22819,0.00759706,0.0182234,0
44.15143,28.90491,43.65027,260183,0.476361,188269,0.7236,1.51902,5.20367,2.00E-05,4.20E-05,28052.3,1078.18,2263.36,7.27065,0.279443,0.586621,0
43.87082,28.69258,43.87082,257677,0.487177,184966,0.71782,1.47343,10.3071,4.00E-05,8.21E-05,27872.4,1081.68,2220.3,18.0686,0.701212,1.43934,0
43.64996,28.51401,43.56442,256109,0.484143,184240,0.71938,1.48588,0,0,0,27867.4,1088.11,2247.49,0,0,0,0
43.99258,28.85662,43.99258,260325,0.479581,187898,0.72178,1.50502,0,0,0,28454.5,1093.04,2279.15,0.0857912,0.00329554,0.0068717,0
47.89724,34.83166,47.83537,297057,0.424577,223149,0.7512,1.76929,0,0,0,29651.8,998.186,2351.01,1.52941,0.0514856,0.121263,0
52.23888,38.95306,52.23888,345334,0.360288,268877,0.7786,2.16105,0,0,0,32474.4,940.375,2610.07,0.298509,0.00864406,0.0239921,0
52.22711,39.12754,52.22711,345523,0.360091,268499,0.77708,2.15801,0,0,0,32354.8,936.401,2600.46,0.785616,0.022737,0.0631424,0
43.65934,29.07874,43.57216,260990,0.503958,187777,0.71948,1.42766,0,0,0,28089.6,1076.27,2135.64,0.208325,0.00798212,0.0158389,0
42.95559,28.31171,42.95559,255232,0.492889,182751,0.71602,1.4527,0,0,0,27911.4,1093.57,2218.69,1.08882,0.0426598,0.0865506,0
43.60065,28.56606,43.5836,257099,0.486408,185492,0.72148,1.48328,0,0,0,27665.8,1076.08,2212.29,0.515472,0.0200495,0.0412196,0
43.919,28.873,43.62127,258607,0.476179,186839,0.72248,1.51725,0,0,0,27611.5,1067.7,2242.23,0.953977,0.036889,0.0774688,0
42.65858,26.9002,42.65858,244440,0.498336,174912,0.71556,1.4359,0,0,0,26853.9,1098.59,2204.51,17.3289,0.708924,1.42258,0
43.19604,27.54181,42.55241,252557,0.482109,182553,0.72282,1.49929,0,0,0,27625.6,1093.84,2268.86,0.131799,0.00521858,0.0108245,0
50.49261,39.48954,50.48308,329994,0.381391,253686,0.76876,2.01567,0,0,0,31073.3,941.63,2468.94,0.403538,0.0122286,0.0320632,0
50.84953,39.6936,49.99854,325054,0.387023,249511,0.7676,1.98335,0,0,0,31107.4,956.991,2472.7,0.105683,0.00325125,0.00840067,0
50.84953,39.6936,49.99854,325054,0.387023,249511,0.7676,1.98335,0,0,0,31107.4,956.991,2472.7,0.105683,0.00325125,0.00840067,0
49.77677,39.75485,49.77677,317548,0.396171,242543,0.7638,1.92796,0,0,0,30324.8,954.967,2410.49,1.3327,0.0419683,0.105935,0
47.73813,34.27563,47.73687,296730,0.426838,220382,0.7427,1.74,0,0,0,30282.6,1020.54,2390.94,0,0,0,0
47.3718,34.09673,46.75736,298778,0.427819,222052,0.7432,1.73718,0,0,0,30312.5,1014.55,2371.44,0,0,0,0
47.67413,34.21884,47.67413,295761,0.429662,221022,0.7473,1.73928,0,0,0,29884.3,1010.42,2351.67,0.144119,0.00487284,0.0113411,0
48.10019,34.72771,47.93087,302794,0.418637,226835,0.74914,1.78947,0,0,0,30174.6,996.538,2380.43,0.345088,0.0113968,0.0272236,0
47.80748,34.83873,46.12014,306709,0.423682,228651,0.7455,1.75957,0,0,0,30794.9,1004.04,2369.81,0,0,0,0
48.2275,34.82566,48.20048,303282,0.418309,228116,0.75216,1.7981,0,0,0,30263.7,997.873,2385.49,0,0,0,0
48.11527,34.62698,47.55192,304116,0.422776,227266,0.7473,1.7676,0,0,0,30545,1004.39,2375.69,0.183425,0.00603142,0.0142662,0
54.14249,45.71594,54.14249,328798,0.384557,254562,0.77422,2.01328,0,0,0,29780.7,905.743,2355.29,4.30044,0.130793,0.340113,0
57.45487,48.78586,57.45487,389380,0.324726,308794,0.79304,2.44218,7.78759,2.00E-05,6.16E-05,33882.7,870.173,2679.72,6.91738,0.177651,0.547081,0
48.42009,35.05163,46.80906,306955,0.462395,228866,0.7456,1.61248,0,0,0,30491,993.337,2148.24,0.757985,0.0246937,0.0534039,0
47.21944,33.85301,46.77631,301345,0.432995,222755,0.7392,1.70718,0,0,0,30861.7,1024.13,2365.23,0.0923088,0.00306322,0.0070745,0
47.79466,34.24053,47.6682,295367,0.436708,220408,0.74622,1.70874,0,0,0,29439.4,996.705,2282.32,0.299125,0.0101272,0.02319,0
48.08688,34.26636,47.57017,295507,0.423561,221453,0.7494,1.76928,0,0,0,29609.3,1001.98,2365.62,0,0,0,0
46.83244,32.80962,46.83244,289434,0.430058,215194,0.7435,1.72884,0,0,0,29714.8,1026.65,2387.24,0,0,0,0
46.41962,32.10932,46.41962,286952,0.426545,214818,0.74862,1.75508,0,0,0,29248.9,1019.3,2389.66,0.271255,0.00945298,0.0221617,0
48.78956,35.24346,48.53024,304040,0.413772,228851,0.7527,1.81912,0,0,0,30178.4,992.581,2398.86,0,0,0,0
49.86231,36.39739,49.5765,323695,0.39062,246189,0.76056,1.94706,0,0,0,31753.5,980.971,2511.32,0.237618,0.00734081,0.0187927,0
47.64506,34.06153,46.68026,294319,0.39136,221887,0.7539,1.92636,0,0,0,29537.5,1003.59,2564.37,0.241247,0.00819681,0.0209444,0
47.59899,33.42083,47.32283,293845,0.382209,223099,0.75924,1.98645,0,0,0,29349.5,998.806,2613.25,0,0,0,0
43.96386,28.82506,43.96386,259429,0.446612,189513,0.7305,1.63565,0,0,0,28091.2,1082.81,2424.49,0.0329497,0.00127008,0.00284381,0
43.7083,28.53074,43.7083,256447,0.449548,186893,0.72878,1.62114,0,0,0,27590.8,1075.89,2393.26,1.18258,0.046114,0.102579,0
43.44362,28.70326,43.43928,257893,0.435908,188478,0.73084,1.67659,0,0,0,27880.1,1081.08,2480.05,0.780884,0.0302794,0.0694629,0
43.61992,28.6865,43.61992,257641,0.438598,187954,0.72952,1.6633,0,0,0,28152.3,1092.69,2491.33,0.091399,0.00354753,0.00808834,0
49.62447,36.0492,49.21136,310824,0.363729,239509,0.77056,2.1185,0,0,0,30162.5,970.406,2667.94,0.124349,0.00400061,0.0109989,0
43.9452,28.68034,43.88417,257540,0.437322,188401,0.73154,1.67277,0,0,0,27912.3,1083.8,2478.27,0,0,0,0
48.5335,35.03947,48.5335,305325,0.372714,233531,0.76486,2.05214,0,0,0,30113.9,986.291,2646.24,0,0,0,0
48.42715,34.93737,48.42715,304179,0.373945,232588,0.76464,2.04479,0,0,0,30089.4,989.198,2645.31,0.0329497,0.00108323,0.00289677,0
43.71367,28.91706,43.71367,260257,0.432149,191013,0.73394,1.69835,0,0,0,27964.5,1074.49,2486.4,0.131799,0.00506417,0.0117186,0
43.72958,28.64749,43.72958,256404,0.444857,186518,0.72744,1.63522,0,0,0,27783.1,1083.57,2435.77,0.825521,0.0321961,0.0723741,0
43.90033,28.70746,43.90033,258045,0.436056,189096,0.7328,1.68052,0,0,0,27763.7,1075.92,2467.4,0,0,0,0
43.54833,28.53181,43.27094,256758,0.441567,187305,0.7295,1.65207,0,0,0,27913,1087.13,2461.98,4.49563,0.175092,0.396524,0
48.52288,35.24796,48.52288,303891,0.377281,232331,0.76452,2.02639,0,0,0,29634.8,975.178,2584.75,0,0,0,0
52.90403,40.00944,52.59906,352291,0.320612,278155,0.78956,2.46267,0,0,0,32328,917.652,2862.19,0.692019,0.0196434,0.0612685,0
51.59928,38.51578,51.53205,333156,0.339025,260342,0.78144,2.30496,0,0,0,31260,938.298,2767.63,2.01192,0.0603896,0.178127,0
43.2455,28.80433,43.2455,259197,0.463187,188918,0.72886,1.57358,0,0,0,27878.8,1075.58,2322.14,1.55711,0.0600744,0.129698,0
43.10403,28.22553,43.10403,254461,0.449303,184255,0.7241,1.61161,0,0,0,27693.3,1088.31,2422.23,3.57821,0.140619,0.312972,0
43.51241,28.80282,43.43333,259122,0.438341,190585,0.7355,1.67792,0,0,0,27744.1,1070.7,2442.61,0.158525,0.00611776,0.0139566,0
44.54875,29.38384,43.98503,264387,0.422381,195117,0.738,1.74724,0,0,0,28243.9,1068.28,2529.19,0,0,0,0
44.40721,28.86205,42.76742,266570,0.413932,198195,0.7435,1.79619,0,0,0,28713.1,1077.13,2602.2,0.844325,0.0316736,0.0765189,0
43.87568,28.43624,43.55259,263883,0.417944,195332,0.74022,1.7711,0,0,0,28143.7,1066.52,2551.83,5.16745,0.195824,0.46854,0
53.17449,40.50713,53.06105,355131,0.322094,279523,0.7871,2.44369,0,0,0,32188.2,906.377,2814.01,0.124349,0.00350149,0.010871,0
50.10292,40.23472,50.09622,318019,0.359513,246166,0.77406,2.15308,0,0,0,29906.6,940.404,2615.77,0,0,0,0
50.10292,40.23472,50.09622,318019,0.359513,246166,0.77406,2.15308,0,0,0,29906.6,940.404,2615.77,0,0,0,0
50.2262,40.67509,50.22004,325285,0.351483,252974,0.7777,2.21263,0,0,0,30272.9,930.659,2647.81,0,0,0,0
47.26052,34.25264,46.93071,297180,0.406892,222541,0.74884,1.84039,0,0,0,30064,1011.64,2486.26,0.454323,0.0152878,0.0375722,0
48.06615,34.4708,48.04693,300017,0.387817,226327,0.75438,1.94519,0,0,0,30231.7,1007.67,2598.3,0.0329497,0.00109826,0.0028319,0
48.20221,34.8543,48.15141,303929,0.380371,231332,0.76114,2.00105,0,0,0,29990.8,986.771,2594.23,0,0,0,0
47.98889,34.41394,46.4098,298717,0.38595,226105,0.75692,1.96119,0,0,0,29918.2,1001.56,2595.04,0,0,0,0
48.37509,35.86258,47.92694,314538,0.376667,238715,0.75894,2.01488,0,0,0,31255.1,993.683,2638.1,0.105683,0.00335995,0.00892023,0
47.25241,34.18474,46.85355,293874,0.392665,221904,0.7551,1.92301,0,0,0,29614.7,1007.74,2566.4,0,0,0,0
47.43231,34.16016,46.81963,295021,0.396926,221319,0.75018,1.88998,0,0,0,29589.2,1002.95,2526.8,0.125921,0.00426819,0.0107531,0
54.61007,46.3592,54.52739,368413,0.312069,293721,0.79726,2.55475,0,0,0,32360.1,878.366,2814.65,0.124349,0.00337525,0.0108157,0
47.82081,35.03527,47.50951,307451,0.424338,231541,0.7531,1.77477,0,0,0,30499.3,992.004,2337.77,0,0,0,0
