Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
59.44599,17.24337,58.85538,854974,0.241949,698497,0.81698,3.37666,0,0,0,75559.9,883.769,3652.7,3.63065,0.042465,0.175512,0
69.71848,25.67509,69.58252,1.24E+06,0.166348,1.08E+06,0.86502,5.20007,0,0,0,86685.5,696.523,4187.15,0.098849,0.00079426,0.00477468,0
71.37934,27.11963,71.08808,1.33E+06,0.161864,1.15E+06,0.86702,5.35648,0,0,0,89615.1,674.145,4164.89,0,0,0,0
68.7427,25.33281,68.58925,1.21E+06,0.171001,1.04E+06,0.861,5.03507,0,0,0,86355.5,713.834,4174.45,0,0,0,0
71.42245,27.38523,70.15195,1.32E+06,0.156679,1.15E+06,0.8703,5.55468,0,0,0,89001.8,674.091,4302.38,0,0,0,0
64.4483,22.44461,64.4483,1.10E+06,0.208828,929356,0.84342,4.03882,0,0,0,85266,773.816,3705.51,0,0,0,0
65.47043,21.79746,65.1942,1.08E+06,0.209319,908432,0.83904,4.00842,0,0,0,84509.6,780.542,3728.95,0.699418,0.00645992,0.0308615,0
65.75331,22.12177,65.4806,1.10E+06,0.189886,932144,0.84518,4.45099,0,0,0,85281.3,773.25,4072.18,0.0329497,0.00029876,0.00157335,0
66.99211,22.70276,65.75856,1.11E+06,0.191679,939044,0.84534,4.41019,0,0,0,85689.9,771.392,4024.4,0,0,0,0
67.32195,22.92407,67.31684,1.13E+06,0.193698,957154,0.84542,4.36463,0,0,0,87237.9,770.542,3978.05,0.20501,0.00181078,0.00934848,0
64.86022,22.0048,64.45691,1.07E+06,0.196097,903978,0.84392,4.30357,0,0,0,83646.3,780.891,3982.16,0,0,0,0
64.02174,21.12189,63.85557,1.03E+06,0.20816,865396,0.83718,4.02182,0,0,0,82970.8,802.655,3855.96,0,0,0,0
70.57184,28.53023,69.15693,1.33E+06,0.157243,1.16E+06,0.87232,5.5476,0,0,0,87967.2,662.521,4213.36,0,0,0,0
